model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
roberta-catalan/model-0_0000,models\roberta-catalan\model-0_0000,0.3958333333333333,0.4791666666666667,0.4277777777777778,59.575226,25,48,0.005344763398170471,768
roberta-catalan/model-0_0005,models\roberta-catalan\model-0_0005,0.375,0.5,0.4135416666666667,58.86894,24,48,0.005098506808280945,768
pubmedbert-ms/model-0_0006,models\pubmedbert-ms\model-0_0006,0.375,0.5208333333333334,0.43645833333333334,76.59355,23,48,0.0054935067892074585,768
pubmedbert-ms/model-0_0000_1,models\pubmedbert-ms\model-0_0000_1,0.375,0.5625,0.4486111111111111,70.96925,21,48,0.0050897300243377686,768
pubmedbert-ms/model-0_0009,models\pubmedbert-ms\model-0_0009,0.375,0.5625,0.4451388888888889,71.97223,21,48,0.004857351382573445,768
medcpt/model-0_4646,models\medcpt\model-0_4646,0.375,0.5833333333333334,0.45798611111111115,79.53202,20,48,0.0052297115325927734,768
biolinkbert/model-0_0003,models\biolinkbert\model-0_0003,0.375,0.5416666666666666,0.4392361111111111,60.73033,22,48,0.005483860770861308,768
biolinkbert/model-0_0001,models\biolinkbert\model-0_0001,0.375,0.5416666666666666,0.43993055555555555,62.007343,22,48,0.005046491821606954,768
roberta-catalan/model-0_0001,models\roberta-catalan\model-0_0001,0.3541666666666667,0.4583333333333333,0.3885416666666666,59.742508,26,48,0.005663941303888957,768
biolinkbert/model-0_0000_0,models\biolinkbert\model-0_0000_0,0.3541666666666667,0.5208333333333334,0.42534722222222227,63.360332,23,48,0.005357558528582255,768
pubmedbert-ms/model-0_0024,models\pubmedbert-ms\model-0_0024,0.3541666666666667,0.5,0.41562499999999997,73.24618,24,48,0.005501891175905864,768
pubmedbert-ms/model-0_0000,models\pubmedbert-ms\model-0_0000,0.3541666666666667,0.5416666666666666,0.43124999999999997,71.76485,22,48,0.00544824202855428,768
bioclinicalbert/model-0_0005,models\bioclinicalbert\model-0_0005,0.3541666666666667,0.6041666666666666,0.44930555555555557,71.50466,19,48,0.005406280358632405,768
biolinkbert/model-0_0013,models\biolinkbert\model-0_0013,0.3541666666666667,0.5208333333333334,0.4173611111111111,63.928883,23,48,0.004720677932103475,768
biolinkbert/model-0_0000,models\biolinkbert\model-0_0000,0.3541666666666667,0.5416666666666666,0.42604166666666665,62.155598,22,48,0.005001733700434367,768
roberta-catalan/model-0_0007,models\roberta-catalan\model-0_0007,0.3333333333333333,0.4375,0.3677083333333333,59.89367,27,48,0.005126550793647766,768
bioclinicalbert/model-0_0000,models\bioclinicalbert\model-0_0000,0.3333333333333333,0.6041666666666666,0.43368055555555557,72.03383,19,48,0.005403017004330953,768
bioclinicalbert/model-0_0000_1,models\bioclinicalbert\model-0_0000_1,0.3333333333333333,0.625,0.4381944444444445,69.1171,18,48,0.005130390326182048,768
biolinkbert/model-0_0066,models\biolinkbert\model-0_0066,0.3333333333333333,0.5416666666666666,0.4059027777777778,61.636864,22,48,0.0051308274269104,768
base_model,./all-mini-base,0.3333333333333333,0.5208333333333334,0.4059027777777778,54.628162,23,48,0.003577500581741333,384
paraphrase-agressive/model-0_0857,models\paraphrase-agressive\model-0_0857,0.3333333333333333,0.5833333333333334,0.4152777777777778,53.67947,20,48,0.0055831074714660645,384
biolinkbert/model-0_0527,models\biolinkbert\model-0_0527,0.3125,0.4791666666666667,0.3659722222222222,59.749878,25,48,0.004598552982012431,768
bioclinicalbert/model-0_0024,models\bioclinicalbert\model-0_0024,0.3125,0.6875,0.4368055555555555,64.09155,15,48,0.004966874917348226,768
bioclinicalbert/model-0_0002,models\bioclinicalbert\model-0_0002,0.3125,0.625,0.425,72.37218,18,48,0.005193700393040975,768
biomedical-roberta/model-0_1455,models\biomedical-roberta\model-0_1455,0.3125,0.6458333333333334,0.43124999999999997,58.265133,17,48,0.00482874612013499,768
bioclinicalbert/model-0_0034,models\bioclinicalbert\model-0_0034,0.2916666666666667,0.5416666666666666,0.3902777777777778,67.58011,22,48,0.005151093006134033,768
pubmedbert-ms/model-0_0062,models\pubmedbert-ms\model-0_0062,0.2916666666666667,0.5208333333333334,0.3763888888888889,69.65262,23,48,0.004641890525817871,768
roberta-catalan/model-0_0067,models\roberta-catalan\model-0_0067,0.2708333333333333,0.4375,0.3329861111111111,58.288998,27,48,0.005414461096127828,768
roberta-catalan/model-0_1372,models\roberta-catalan\model-0_1372,0.2708333333333333,0.3958333333333333,0.31319444444444444,57.705616,29,48,0.005752111474672954,768
biobert-v1.2/model-0_0004,models\biobert-v1.2\model-0_0004,0.2708333333333333,0.3333333333333333,0.3020833333333333,73.32106,32,48,0.005056629578272502,768
bioclinicalbert/model-0_0265,models\bioclinicalbert\model-0_0265,0.2708333333333333,0.625,0.39999999999999997,69.27293,18,48,0.005583127339680989,768
bioclinicalbert/model-0_0008,models\bioclinicalbert\model-0_0008,0.25,0.625,0.39375,69.54327,18,48,0.004857992132504781,768
bluebert/model-0_0027,models\bluebert\model-0_0027,0.22916666666666666,0.2708333333333333,0.24479166666666666,68.38921,35,48,0.005236908793449402,768
scibert/model-0_0001,models\scibert\model-0_0001,0.22916666666666666,0.3333333333333333,0.26458333333333334,63.52062,32,48,0.005953689416249593,768
bluebert/model-0_0001,models\bluebert\model-0_0001,0.20833333333333334,0.2916666666666667,0.23229166666666667,67.90008,34,48,0.004798332850138347,768
bluebert/model-0_0014,models\bluebert\model-0_0014,0.20833333333333334,0.3125,0.24826388888888887,66.845,33,48,0.004960477352142334,768
biobert-v1.2/model-0_0001,models\biobert-v1.2\model-0_0001,0.20833333333333334,0.3541666666666667,0.26284722222222223,71.43966,31,48,0.005752349893252055,768
biobert-v1.2/model-0_0000,models\biobert-v1.2\model-0_0000,0.20833333333333334,0.3541666666666667,0.2638888888888889,71.456055,31,48,0.0058316439390182495,768
biobert-v1.2/model-0_0002,models\biobert-v1.2\model-0_0002,0.20833333333333334,0.3333333333333333,0.2586805555555555,74.31651,32,48,0.005393624305725098,768
biobert-v1.2/model-0_0000_1,models\biobert-v1.2\model-0_0000_1,0.20833333333333334,0.3541666666666667,0.26284722222222223,71.60039,31,48,0.005524585644404094,768
pubmedbert-ms/model-0_1013,models\pubmedbert-ms\model-0_1013,0.20833333333333334,0.4375,0.29583333333333334,72.68212,27,48,0.005145564675331116,768
pubmedbert-ms/model-0_0175,models\pubmedbert-ms\model-0_0175,0.20833333333333334,0.5208333333333334,0.3215277777777778,71.29532,23,48,0.005064234137535095,768
biobert-v1.2/model-0_0016,models\biobert-v1.2\model-0_0016,0.1875,0.3125,0.24305555555555555,79.34275,33,48,0.005005886157353719,768
bioclinicalbert/model-0_0017,models\bioclinicalbert\model-0_0017,0.1875,0.5,0.3013888888888889,68.625275,24,48,0.004829237858454387,768
bluebert/model-0_0000_1,models\bluebert\model-0_0000_1,0.1875,0.2708333333333333,0.21354166666666666,67.91125,35,48,0.005320395032564799,768
bluebert/model-0_0118,models\bluebert\model-0_0118,0.1875,0.3333333333333333,0.23854166666666665,63.22477,32,48,0.00482545793056488,768
bluebert/model-0_0000,models\bluebert\model-0_0000,0.1875,0.25,0.2152777777777778,67.77783,36,48,0.005056753754615784,768
bluebert/model-0_0020,models\bluebert\model-0_0020,0.16666666666666666,0.3125,0.21944444444444444,61.7859,33,48,0.005169585347175598,768
scibert/model-0_0000_1,models\scibert\model-0_0000_1,0.16666666666666666,0.3541666666666667,0.23298611111111112,59.08974,31,48,0.0056518663962682085,768
scibert/model-0_0017,models\scibert\model-0_0017,0.14583333333333334,0.3541666666666667,0.22708333333333333,58.47122,31,48,0.0051682690779368086,768
scibert/model-0_0002,models\scibert\model-0_0002,0.14583333333333334,0.2916666666666667,0.20625000000000002,61.427776,34,48,0.0054840197165807085,768
scibert/model-0_0000,models\scibert\model-0_0000,0.14583333333333334,0.3333333333333333,0.22013888888888888,61.787827,32,48,0.0051764945189158125,768
scibert/model-0_0004,models\scibert\model-0_0004,0.14583333333333334,0.2916666666666667,0.19756944444444444,59.85537,34,48,0.005895401040712993,768
scibert/model-0_0126,models\scibert\model-0_0126,0.125,0.375,0.22291666666666665,56.739857,30,48,0.005834450324376424,768
bluebert/model-0_0310,models\bluebert\model-0_0310,0.125,0.25,0.17256944444444444,64.9266,36,48,0.005446106195449829,768
biolinkbert/model-0_2622,models\biolinkbert\model-0_2622,0.125,0.3958333333333333,0.21666666666666667,70.00756,29,48,0.005580907066663106,768
bioclinicalbert/model-0_0003,models\bioclinicalbert\model-0_0003,0.125,0.4375,0.22569444444444445,65.2353,27,48,0.0048464735349019366,768
bioclinicalbert/model-0_0032,models\bioclinicalbert\model-0_0032,0.125,0.375,0.21562499999999998,68.791,30,48,0.005136395494143168,768
biobert-v1.2/model-0_0065,models\biobert-v1.2\model-0_0065,0.125,0.2916666666666667,0.18020833333333333,72.61707,34,48,0.004984070857365926,768
deberta-v3-conservative/model-0_0010,models\deberta-v3-conservative\model-0_0010,0.08333333333333333,0.14583333333333334,0.10590277777777778,81.85545,41,48,0.01267025371392568,768
biobert/model-0_0002,models\biobert\model-0_0002,0.08333333333333333,0.3541666666666667,0.16458333333333333,67.58979,31,48,0.0055983712275822954,768
biobert/model-0_0000,models\biobert\model-0_0000,0.08333333333333333,0.3125,0.15069444444444444,68.577034,33,48,0.005178213119506836,768
biobert/model-0_0000_1,models\biobert\model-0_0000_1,0.08333333333333333,0.3125,0.15069444444444444,69.36841,33,48,0.0053168485562006635,768
biobert/model-0_0001,models\biobert\model-0_0001,0.08333333333333333,0.3125,0.15069444444444444,68.67696,33,48,0.005138730009396871,768
bluebert/model-0_1034,models\bluebert\model-0_1034,0.08333333333333333,0.22916666666666666,0.1388888888888889,64.97237,37,48,0.0050678203503290815,768
bluebert/model-0_2036,models\bluebert\model-0_2036,0.08333333333333333,0.1875,0.11423611111111111,80.500336,39,48,0.005350316564242045,768
bioclinicalbert/model-0_1554,models\bioclinicalbert\model-0_1554,0.08333333333333333,0.3125,0.13993055555555556,68.46373,33,48,0.005333458383878072,768
bioclinicalbert/model-0_0340,models\bioclinicalbert\model-0_0340,0.08333333333333333,0.2708333333333333,0.1295138888888889,60.50047,35,48,0.005802487333615621,768
