model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
sapbert-pubmed/model-0_4277,models\sapbert-pubmed\model-0_4277,0.375,0.5833333333333334,0.4510416666666666,52.87759,20,48,0.005312393109003703,768
biolinkbert/model-0_0003,models\biolinkbert\model-0_0003,0.3541666666666667,0.5625,0.41562499999999997,57.553608,21,48,0.005938033262888591,768
pubmedbert-ms/model-0_0009,models\pubmedbert-ms\model-0_0009,0.3541666666666667,0.5416666666666666,0.42430555555555555,72.597626,22,48,0.00497997800509135,768
roberta-catalan/model-0_1372,models\roberta-catalan\model-0_1372,0.3541666666666667,0.4791666666666667,0.40625,66.41681,25,48,0.005524853865305583,768
pubmedbert-ms/model-0_0006,models\pubmedbert-ms\model-0_0006,0.3333333333333333,0.4583333333333333,0.390625,79.52066,26,48,0.005588894089063008,768
pubmedbert-ms/model-0_0000,models\pubmedbert-ms\model-0_0000,0.3333333333333333,0.5208333333333334,0.3996527777777778,71.558044,23,48,0.00540718932946523,768
biolinkbert/model-0_0000,models\biolinkbert\model-0_0000,0.3333333333333333,0.5625,0.41041666666666665,59.150124,21,48,0.005392611026763916,768
pubmedbert-ms/model-0_0000_1,models\pubmedbert-ms\model-0_0000_1,0.3333333333333333,0.5,0.4017361111111111,73.42475,24,48,0.005890602866808574,768
pubmedbert-ms/model-0_0003,models\pubmedbert-ms\model-0_0003,0.3333333333333333,0.4791666666666667,0.3958333333333333,79.28563,25,48,0.005073611934979756,768
bioclinicalbert/model-0_0000,models\bioclinicalbert\model-0_0000,0.3333333333333333,0.625,0.4232638888888889,71.6816,18,48,0.005297809839248657,768
biolinkbert/model-0_0001,models\biolinkbert\model-0_0001,0.3333333333333333,0.5833333333333334,0.4138888888888889,58.780384,20,48,0.005501766999562581,768
biolinkbert/model-0_0000_0,models\biolinkbert\model-0_0000_0,0.3125,0.5625,0.3965277777777778,59.59926,21,48,0.005262906352678935,768
biolinkbert/model-0_0066,models\biolinkbert\model-0_0066,0.3125,0.5625,0.3875,57.90584,21,48,0.005351553360621135,768
pubmedbert-ms/model-0_0007,models\pubmedbert-ms\model-0_0007,0.3125,0.5,0.3809027777777778,74.69242,24,48,0.005179494619369507,768
biolinkbert/model-0_0013,models\biolinkbert\model-0_0013,0.2916666666666667,0.5,0.3607638888888889,61.72389,24,48,0.005589236815770467,768
pubmedbert-ms/model-0_0024,models\pubmedbert-ms\model-0_0024,0.2708333333333333,0.5,0.3607638888888889,73.63429,24,48,0.005138004819552104,768
bioclinicalbert/model-0_0005,models\bioclinicalbert\model-0_0005,0.2708333333333333,0.625,0.4048611111111111,71.04724,18,48,0.005915597081184387,768
bioclinicalbert/model-0_0000_1,models\bioclinicalbert\model-0_0000_1,0.2708333333333333,0.6041666666666666,0.38125000000000003,69.41847,19,48,0.005125716328620911,768
pubmedbert-ms/model-0_0062,models\pubmedbert-ms\model-0_0062,0.2708333333333333,0.4583333333333333,0.3340277777777778,72.65826,26,48,0.005315686265627543,768
biobert-v1.2/model-0_0004,models\biobert-v1.2\model-0_0004,0.25,0.3541666666666667,0.2934027777777778,73.85664,31,48,0.005126640200614929,768
bioclinicalbert/model-0_0008,models\bioclinicalbert\model-0_0008,0.25,0.5833333333333334,0.3666666666666667,70.38807,20,48,0.005383849143981934,768
scibert/model-0_0017,models\scibert\model-0_0017,0.25,0.4583333333333333,0.3190972222222222,61.3593,26,48,0.005572959780693054,768
scibert/model-0_0000_1,models\scibert\model-0_0000_1,0.25,0.4166666666666667,0.3177083333333333,62.554893,28,48,0.005110189318656921,768
bioclinicalbert/model-0_0024,models\bioclinicalbert\model-0_0024,0.25,0.6666666666666666,0.41111111111111115,65.67683,16,48,0.005703662832578023,768
scibert/model-0_0126,models\scibert\model-0_0126,0.22916666666666666,0.4791666666666667,0.3138888888888889,59.540226,25,48,0.005375375350316365,768
biolinkbert/model-0_0527,models\biolinkbert\model-0_0527,0.22916666666666666,0.4375,0.2972222222222222,60.52409,27,48,0.005872870484987895,768
biobert-v1.2/model-0_0000,models\biobert-v1.2\model-0_0000,0.22916666666666666,0.3541666666666667,0.2760416666666667,73.43903,31,48,0.005286425352096558,768
biobert-v1.2/model-0_0001,models\biobert-v1.2\model-0_0001,0.22916666666666666,0.3541666666666667,0.2760416666666667,73.427444,31,48,0.00516781210899353,768
biobert-v1.2/model-0_0016,models\biobert-v1.2\model-0_0016,0.22916666666666666,0.3541666666666667,0.2864583333333333,79.7452,31,48,0.005503992239634196,768
scibert/model-0_0000,models\scibert\model-0_0000,0.22916666666666666,0.3958333333333333,0.3020833333333333,64.52261,29,48,0.004899630943934123,768
biobert-v1.2/model-0_0000_1,models\biobert-v1.2\model-0_0000_1,0.22916666666666666,0.3541666666666667,0.27499999999999997,73.61303,31,48,0.005686596035957336,768
bioclinicalbert/model-0_0265,models\bioclinicalbert\model-0_0265,0.20833333333333334,0.625,0.3503472222222222,69.835075,18,48,0.005378211537996928,768
bioclinicalbert/model-0_0034,models\bioclinicalbert\model-0_0034,0.20833333333333334,0.5625,0.32916666666666666,68.87137,21,48,0.006344154477119446,768
biobert-v1.2/model-0_0002,models\biobert-v1.2\model-0_0002,0.20833333333333334,0.3541666666666667,0.26180555555555557,75.540215,31,48,0.005118340253829956,768
biomedical-roberta/model-0_1455,models\biomedical-roberta\model-0_1455,0.20833333333333334,0.5833333333333334,0.34097222222222223,64.07231,20,48,0.0055325279633204145,768
bluebert/model-0_0014,models\bluebert\model-0_0014,0.20833333333333334,0.2916666666666667,0.23263888888888887,66.71029,34,48,0.004690383871396382,768
bluebert/model-0_0000_1,models\bluebert\model-0_0000_1,0.20833333333333334,0.2916666666666667,0.23159722222222223,67.553116,34,48,0.005188211798667908,768
bioclinicalbert/model-0_0017,models\bioclinicalbert\model-0_0017,0.20833333333333334,0.4583333333333333,0.28506944444444443,70.366,26,48,0.00547000269095103,768
bluebert/model-0_0027,models\bluebert\model-0_0027,0.20833333333333334,0.2916666666666667,0.23680555555555557,69.03961,34,48,0.005216419696807861,768
bluebert/model-0_0001,models\bluebert\model-0_0001,0.20833333333333334,0.2916666666666667,0.23611111111111113,68.752365,34,48,0.004958788553873698,768
